"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ROCR","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.0-11",NA,"R (>= 3.6)","methods, graphics, grDevices, gplots, stats",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"roxygen2","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","7.2.3",NA,"R (>= 3.3)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), knitr,
methods, pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2),
rlang (>= 1.0.6), stringi, stringr (>= 1.0.0), utils, withr,
xml2","cpp11","covr, R.methodsS3, R.oo, rmarkdown (>= 2.16), testthat (>=
3.1.2), yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"rpart","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.1.19","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"RPostgreSQL","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.7-5",NA,"R (>= 2.9.0), methods, DBI (>= 0.3)",NA,NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"rprintf","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.2.1",NA,"R (>= 2.15)","stringi",NA,"testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"rprojroot","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.0.3",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"rrcov","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.7-4",NA,"R (>= 2.10), robustbase (>= 0.92.1), methods","stats, stats4, mvtnorm, lattice, pcaPP",NA,"grid, MASS",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"rsample","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2.0",NA,"R (>= 3.6)","cli, dplyr (>= 1.1.1), furrr, generics, glue, lifecycle,
methods, pillar, purrr (>= 1.0.0), rlang (>= 0.4.10), slider
(>= 0.1.5), tibble, tidyr, tidyselect, vctrs (>= 0.5.0)",NA,"broom, covr, ggplot2, knitr, modeldata, recipes (>= 0.1.4),
rmarkdown, stats, testthat (>= 3.0.0), utils, whisker, withr,
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"rsconnect","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.0.2",NA,"R (>= 3.5.0)","cli, curl, digest, jsonlite, lifecycle, openssl (>= 2.0.0),
packrat (>= 0.6), renv (>= 1.0.0), rlang (>= 1.0.0), rstudioapi
(>= 0.5), tools, yaml (>= 2.1.5)",NA,"Biobase, BiocManager, foreign, knitr, MASS, plumber (>=
0.3.2), quarto, RCurl, reticulate, rmarkdown (>= 1.1), shiny,
testthat (>= 3.1.9), webfakes, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"RSelenium","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.7.9",NA,"R (>= 3.0.0)","methods, caTools, utils, httr, wdman(>= 0.2.2)",NA,"binman, XML, testthat, knitr, covr, rmarkdown",NA,"AGPL-3",NA,NA,NA,NA,"no","4.3.1"
"RSQLite","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.3.1",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig","plogr (>= 0.2.0), cpp11 (>= 0.4.0)","callr, DBItest (>= 1.7.2.9001), gert, gh, hms, knitr,
magrittr, rmarkdown, rvest, testthat (>= 3.0.0), withr, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.3.1"
"rstan","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.21.8",NA,"R (>= 3.4.0), StanHeaders (>= 2.21.0), ggplot2 (>= 3.0.0)","methods, stats4, inline, gridExtra (>= 2.0.0), Rcpp (>=
0.12.0), RcppParallel (>= 5.0.1), loo (>= 2.3.0), pkgbuild","Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0), BH (>=
1.72.0-2), StanHeaders (>= 2.21.0), RcppParallel","RUnit, RcppEigen (>= 0.3.3.3.0), BH (>= 1.72.0-2), parallel,
KernSmooth, shinystan (>= 2.3.0), bayesplot (>= 1.5.0),
rmarkdown, rstantools, rstudioapi, Matrix, knitr (>= 1.15.1),
V8",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"rstanarm","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.21.4",NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), methods","bayesplot (>= 1.7.0), ggplot2 (>= 2.2.1), lme4 (>= 1.1-8), loo
(>= 2.1.0), Matrix (>= 1.2-13), nlme (>= 3.1-124), rstan (>=
2.21.1), rstantools (>= 2.1.0), shinystan (>= 2.3.0), stats,
survival (>= 2.40.1), RcppParallel (>= 5.0.1), utils","StanHeaders (>= 2.21.0), rstan (>= 2.21.1), BH (>=
1.72.0-2), Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0),
RcppParallel (>= 5.0.1)","biglm, betareg, data.table (>= 1.10.0), digest, gridExtra,
HSAUR3, knitr (>= 1.15.1), MASS, mgcv (>= 1.8-13), rmarkdown,
roxygen2, StanHeaders (>= 2.21.0), testthat (>= 1.0.2), gamm4,
shiny",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"rstantools","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.3.1.1",NA,NA,"desc, stats, utils, Rcpp (>= 0.12.16), RcppParallel (>= 5.0.1)",NA,"rstan (>= 2.17.2), usethis (>= 1.5.1), testthat (>= 2.0.0),
knitr, pkgbuild, pkgload, roxygen2 (>= 6.0.1), rmarkdown,
rstudioapi",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"rstatix","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.7.2",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.2.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"rstudioapi","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.15.0",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"rsvg","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.4.0",NA,NA,NA,NA,"ggplot2, knitr, magick, rmarkdown, spelling, svglite, webp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"rticles","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.25",NA,NA,"knitr (>= 1.30), lifecycle, rmarkdown (>= 2.14), tinytex (>=
0.30), utils, xfun, yaml",NA,"bookdown, withr, covr, testit, testthat (>= 3.0.0), xtable",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"Rttf2pt1","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.3.12",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.3.0"
"rversions","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.1.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"rvest","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.0.3",NA,"R (>= 3.2)","glue, cli, httr (>= 0.5), lifecycle (>= 1.0.0), magrittr,
rlang (>= 1.0.0), selectr, tibble, xml2 (>= 1.3), withr",NA,"covr, knitr, readr, repurrrsive, rmarkdown, spelling, stringi
(>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"s2","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.1.4",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.6.0)","Rcpp, wk","bit64, testthat (>= 3.0.0), vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.3.1"
"sandwich","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","3.0-2",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.1"
"sass","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.4.7",NA,NA,"fs (>= 1.2.4), rlang (>= 0.4.10), htmltools (>= 0.5.1), R6,
rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"scagnostics","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.2-6",NA,"rJava",NA,NA,NA,NA,"BSD_2_clause + file LICENSE","yes",NA,NA,NA,"no","4.3.0"
"scales","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"scatterplot3d","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.3-44",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"scico","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.5.0",NA,"R (>= 2.10)","scales, grDevices",NA,"ggplot2, testthat, dplyr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"see","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.8.0",NA,"graphics, grDevices, R (>= 3.6), stats","bayestestR (>= 0.13.1), correlation (>= 0.8.4), datawizard (>=
0.7.1), effectsize (>= 0.8.3), ggplot2 (>= 3.4.2), insight (>=
0.19.2), modelbased (>= 0.8.6), parameters (>= 0.21.1),
performance (>= 0.10.4)",NA,"brms, curl, emmeans, factoextra, ggdist, ggraph, ggrepel,
ggridges, ggside, glmmTMB, grid, httr, lavaan, lme4, logspline,
MASS, mclust, mgcv, metafor, NbClust, nFactors, patchwork,
poorman, psych, qqplotr, randomForest, rlang, rmarkdown,
rstanarm, scales (>= 1.2.1), splines, testthat (>= 3.1.7),
tidygraph, vdiffr (>= 1.0.5)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"selectr","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.3.1"
"semver","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.2.0",NA,NA,"Rcpp (>= 0.12.8), assertthat, utils","Rcpp","testthat, covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"seriation","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.5.1",NA,"R (>= 2.14.0)","ca, cluster, colorspace, foreach, gclus, grDevices, grid,
MASS, qap, registry, stats, TSP, vegan",NA,"dbscan, DendSer, dendextend, doParallel, GA, ggplot2, keras,
Rtsne, scales, smacof, tensorflow, testthat, umap",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"sessioninfo","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"sets","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.0-24",NA,"R (>= 2.7.0)","graphics,grDevices,stats,utils",NA,"proxy",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"sf","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.0-14",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.1.0), stats, tools, units
(>= 0.7-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, Matrix, microbenchmark, odbc, pbapply,
pillar, pool, raster, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>= 2.0-1),
spatstat.geom, spatstat.random, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat (>= 3.0.0),
tibble (>= 1.4.1), tidyr (>= 1.2.0), tidyselect (>= 1.0.0),
tmap (>= 2.0), vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sfheaders","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.4.3",NA,"R (>= 3.0.2)","Rcpp (>= 1.0.10)","geometries (>= 0.2.2), Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"shape","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"shiny","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.7.5",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.1), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml, future, dygraphs, ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinyAce","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.4.2",NA,"R (>= 3.3.0)","shiny (>= 1.0.5), jsonlite, utils, tools",NA,"testthat (>= 2.0.0), dplyr (>= 0.8.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinydashboard","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.7.2",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinydashboardPlus","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.0.3",NA,NA,"shiny, htmltools, shinydashboard, fresh, waiter (>= 0.2.3),
lifecycle",NA,"styler (>= 1.2.0), shinyAce, shinyWidgets, shinyEffects,
shinyjqui, knitr, rmarkdown, jsonlite",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinydisconnect","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.1.1",NA,"R (>= 3.0.0)","checkmate, glue, htmltools, shiny (>= 1.0)",NA,"colourpicker",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinyEffects","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.2.0",NA,NA,"htmltools, shiny",NA,"shinydashboard, shinydashboardPlus, bs4Dash, rmarkdown, knitr",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinyjqui","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.4.1",NA,"R (>= 3.2.0)","shiny (>= 1.5.0), htmltools, htmlwidgets, jsonlite, rlang",NA,"ggplot2, highcharter, knitr, markdown, rmarkdown, plotly",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinyjs","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",NA,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinystan","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.6.0",NA,"R (>= 3.1.0), shiny (>= 1.0.3)","bayesplot (>= 1.5.0), colourpicker, DT (>= 0.2), dygraphs (>=
1.1.1.2), ggplot2 (>= 2.1.1), gridExtra, gtools, markdown (>=
0.7.4), methods, reshape2, rstan (>= 2.17.1), stats, shinyjs
(>= 0.6.0), shinythemes (>= 1.0.1), threejs (>= 0.2.1), utils,
xtable, xts (>= 0.9-7)",NA,"cmdstanr (>= 0.4.0), coda, knitr (>= 1.9), posterior (>=
1.0.0), rmarkdown (>= 0.8.1), rsconnect (>= 0.4.2), rstanarm
(>= 2.17.4), testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"shinytest","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.5.3",NA,NA,"assertthat, callr (>= 2.0.3), crayon, debugme, digest,
htmlwidgets, httpuv, httr, jsonlite, parsedate, pingr, R6,
rematch, rlang, rstudioapi (>= 0.8.0.9002), shiny (>= 1.3.2),
testthat (>= 1.0.0), utils, webdriver (>= 1.0.6), withr",NA,"flexdashboard, globals, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinythemes","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinyWidgets","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.7.6",NA,"R (>= 3.1.0)","anytime, bslib, sass, shiny (>= 1.6.0), htmltools (>= 0.5.1),
jsonlite, grDevices, rlang",NA,"shinydashboard, testthat, covr, shinydashboardPlus (>=
2.0.0), bs4Dash, argonR, argonDash, tablerDash, ggplot2, DT,
scales",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"showimage","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.0.0",NA,NA,"png, tools",NA,"covr, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.1"
"showtext","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.9-6",NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)","grDevices",NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.3.1"
"showtextdb","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","3.0",NA,NA,"sysfonts (>= 0.7), utils",NA,"curl",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.3.1"
"slider","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.3.0",NA,"R (>= 3.4.0)","cli (>= 3.4.1), rlang (>= 1.0.6), vctrs (>= 0.5.0), warp","vctrs (>= 0.5.0)","covr, dplyr (>= 1.0.0), knitr, lubridate, rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"smd","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.6.6",NA,NA,"MASS (>= 7.3-50), methods (>= 3.5.1)",NA,"testthat, stddiff, tableone, knitr, dplyr, purrr, markdown,
rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"sna","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.7-1",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,NA,"rgl, numDeriv, SparseM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"som","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.3-5.1",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.0"
"sourcetools","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.1.7-1",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sp","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.0-0",NA,"R (>= 3.2.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir, knitr, rmarkdown, sf, terra, raster",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"sparkline","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.0",NA,NA,"htmltools, htmlwidgets (>= 0.8)",NA,"formattable, knitr, rmarkdown, shiny",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"sparklyr","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.8.2",NA,"R (>= 3.2)","base64enc, config (>= 0.2), DBI (>= 1.0.0), dbplyr (>= 2.2.1),
digest, dplyr (>= 1.0.9), ellipsis (>= 0.1.0), generics,
globals, glue, httr (>= 1.2.1), jsonlite (>= 1.4), methods,
openssl (>= 0.8), purrr, rappdirs, rlang (>= 0.1.4), rstudioapi
(>= 0.10), tibble, tidyr (>= 1.2.0), tidyselect, uuid, vctrs,
withr, xml2",NA,"arrow (>= 0.17.0), broom, diffobj, foreach, ggplot2,
iterators, janeaustenr, Lahman, mlbench, nnet, nycflights13,
R6, r2d3, RCurl, reshape2, shiny (>= 1.0.1), parsnip, testthat,
rprojroot",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"SparseM","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"spatial","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","7.3-16","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"spatialreg","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2-9",NA,"R (>= 3.3.0), spData, Matrix, sf","spdep, expm, coda, methods, MASS, boot, splines, LearnBayes,
nlme, multcomp",NA,"parallel, RSpectra, tmap, foreign, spam, knitr, lmtest,
sandwich, rmarkdown, igraph, tinytest",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"spData","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.3.0",NA,"R (>= 3.3.0)","sp",NA,"foreign, sf (>= 0.9-1), spDataLarge (>= 0.4.0), spdep,
spatialreg,",NA,"CC0",NA,NA,NA,NA,"no","4.3.1"
"spdep","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2-8",NA,"R (>= 3.3.0), methods, spData (>= 0.2.6.0), sf","stats, deldir, boot (>= 1.3-1), graphics, utils, grDevices,
units, s2, e1071, sp (>= 1.0)",NA,"spatialreg (>= 1.2-1), Matrix, parallel, dbscan,
RColorBrewer, lattice, xtable, foreign, igraph, RSpectra,
knitr, classInt, tmap, spam, ggplot2, rmarkdown, tinytest,
rgeoda",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"speedglm","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.3-5",NA,"Matrix, MASS, biglm","methods, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.3.1"
"spelling","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.2.1",NA,NA,"commonmark, xml2, hunspell (>= 3.0), knitr",NA,"pdftools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"splines","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.3.1","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"SQUAREM","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"StanHeaders","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.26.27",NA,"R (>= 3.4.0)","RcppParallel (>= 5.1.4)","RcppEigen, RcppParallel (>= 5.1.4)","Rcpp, BH (>= 1.75.0-0), knitr (>= 1.36), rmarkdown, Matrix,
methods, rstan, withr",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"statmod","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.5.0",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"statnet.common","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.9.0",NA,"R (>= 3.5)","utils, methods, coda, parallel, tools",NA,"covr, rlang (>= 1.1.1), MASS, Matrix",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"stats","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.3.1","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"stats4","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.3.1","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.3.1",NA,NA,NA,NA,NA,"4.3.1"
"stinepack","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.4",NA,NA,"stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"stringi","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.7.12",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.3.0"
"stringr","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.5.0",NA,"R (>= 3.3)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"strucchange","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.5-3",NA,"R (>= 2.10.0), zoo, sandwich","graphics, stats, utils",NA,"stats4, car, dynlm, e1071, foreach, lmtest, mvtnorm, tseries",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
